# Blue_1    Blue_2    Line_1    Line_2   Red_1      Red_2       T   NAME       
  4821.175  4838.404   4848.275  4877.097  4897.445  4915.845   2   Hbeta_o
  4946.500  4977.750  4977.750  5054.000  5054.000  5065.250    2   Fe5015
  4895.125  4957.625  5154.125  5196.625  5301.125  5366.125    2   Mg2  
  4760.800  4798.800  4738.900  4757.300  4819.800  4835.500    2   bTiO     
  5142.625  5161.375  5160.125  5192.625  5191.375  5206.375    2   Mgb5177    
  5233.150  5248.150  5245.650  5285.650  5285.650  5318.150    2   Fe5270     
  5304.625  5315.875  5312.125  5352.125  5353.375  5363.375    2   Fe5335   
  5723.000  5750.000  5945.000  5994.125  6038.625  6103.625    1   TiO1  
  6066.600  6141.600  6189.625  6265.000  6422.000  6455.000    1   TiO2  
  5420.000  5442.000  5445.000  5600.000  5630.000  5655.000    1   aTiO
  99.       99.	      3850.000  3950.000  4000.000  4100.000	3   Dn4000
       
#  8474.000  8484.000  8484.000  8513.000  8563.000  8577.000    2   Ca1    
#  8474.000  8484.000  8522.000  8562.000  8619.000  8642.000    2   Ca2  
#  8619.000  8642.000  8642.000  8682.000  8700.000  8725.000    2   Ca3    
